,Bosmicore,Bosmdeit,Pleuhamu,Alongutt,Moinmacr,Alonquad,Daphlong,Diapsars,Diapbrac,Sinodorr,Eodisine,Schmforb,Mesoleuc,Thertaih,Calalarv,Cycllarv,nauplius,Therhyal,Moinmicr
TN,0.17219040590730347,0.39225070006673685,0.4845668457322524,0.1678270855796303,0.3723676780984411,0.18208832623257631,0.5599514439627149,0.5797190585667819,0.2216696691592832,0.27030447817756564,0.0010786179319683168,0.8663591864238869,0.0063995827310408294,0.04964007857255918,0.0010233476798127774,0.0029389479617886976,0.002584512325534132,0.6142974344832646,0.12705210838572434
DTN,0.06158947248201224,0.2009826341656209,0.2117075715088987,0.7205745401618999,0.22532406919796322,0.04409232214900999,0.9796331572732393,0.33280048664803585,0.18593780602746746,0.9075155200360184,0.0303434786752811,0.5813539738001302,0.02238454450565096,0.1412710194522264,0.008792433769776615,0.008142332321497346,0.007380725756718068,0.453518314933624,0.14862823071389217
NH4-N,0.30667067149015037,0.3552234598655272,0.5503548988993701,0.7022483498198842,0.24507312805618753,0.0021542335354684528,0.5313921093607654,0.4058953376510131,0.22849198774039436,0.4570230292523263,0.34900064823506577,0.368750401102645,0.2583612913487926,0.3781026504478874,0.19570566910431014,0.18816058201328195,0.18156882334019397,0.39756159677988434,0.3200383951632308
NO3-N,0.009184449731675056,0.003727572837231615,0.44391256209916286,0.9936483586695695,0.062453828938187045,0.6755825027247533,0.22507424048763605,0.016404933397735195,0.5210565165846571,0.8007764182696697,0.06119415072711375,0.9307697972389108,0.001090105573020882,0.04752639765610529,0.017482507402298016,0.0002665380316800074,0.0009053975047903702,0.012703791007812701,0.6613165802306953
TP,0.6332376919675459,0.10273358378823773,0.9561709129613953,0.3415987292864435,0.05235359159782453,0.052778453701860975,0.25089657612663674,0.05217982744699052,0.3527588791342926,0.22704037266264887,0.8038132068228485,0.25392667283291653,0.3470850933258828,0.9450308660580617,0.7853712782182204,0.6529173903750032,0.3859541320101242,0.13816140041904262,0.524307963513767
DTP,0.42281434194433765,0.23238207281375609,0.5871238850055951,0.06469323164943101,0.5541150101499461,0.0080332420672011,0.4306306091407994,0.29296992906008545,0.8325497730255028,0.4420798553740097,0.7168668846015824,0.9835873165667649,0.7020176881825779,0.9670728838218577,0.8756999315745536,0.7151764693348297,0.6386935869847603,0.2692678993344337,0.7072501855376294
PO4-P,0.3165984075036075,0.20892899417437819,0.8318553512129558,0.24031968534282924,0.39917753254963434,0.005419942534538727,0.6338792236035895,0.26653486938126447,0.7199114349063309,0.6122611124043196,0.9383602691092917,0.6849460913073229,0.4097538156820165,0.96453147529258,0.5138761913918047,0.5021468303073472,0.3326740939862496,0.37599310291341703,0.7321938209009116
CODMn,0.41380754898326855,0.0008977154849274864,0.7234973053832934,0.9158847392666298,0.030471161305481387,0.9562240298891813,0.14131489445345358,0.0005434175433579327,0.8466689602800203,0.5411690086878085,0.6133818003808258,0.671718432738422,0.12173027362040809,0.9250858956558041,0.7080646428996549,0.38475307945542436,0.11529518242446651,0.012508900053439326,0.9816184327001869
Chl_a,0.15685514021474076,3.066554565415585e-06,0.9635827997403799,0.6353718099354297,0.0080762278290898,0.4446192740968069,0.591120867973134,3.992511487701926e-06,0.6982109388685478,0.6214438992054236,0.6228180239657148,0.5442258208921094,0.1154888985091595,0.7604401437617789,0.6920321551418234,0.22411360728368268,0.10946215284321686,0.00012555046041472272,0.8922722240183487
Z,0.5942043688747491,0.040607296241533794,,0.5068569241112659,0.08094924097224575,0.6031295453001331,0.5510878264635772,0.027126044657616245,0.5365397585442476,0.6562232185828072,0.28273698964380445,0.9810918984399242,0.23188298395759824,0.5709465640972987,0.6099375697520026,0.9504820940031394,0.32398285068575483,0.009335460600524991,0.7347466399621232
SD,0.26163571002574143,0.21716996099156566,0.5812478951612039,0.07443018161531859,0.02366560302129139,0.9743238170513203,0.37892053879369797,0.15184561714278527,0.07558655812682395,0.0912352264927592,0.19688699100009877,0.10381305374762298,0.011941653218081926,0.7558229910391407,0.04681929304594067,0.18539958943179868,0.009566463854727819,0.37215961746692316,0.002847095950388218
T,0.4426863177333416,0.04315954107386494,0.9790241027655956,0.13237257308763495,0.020851520705796742,0.27301628429938507,0.4825358207617374,0.02860127800806579,0.12736575090100294,0.04735707124859302,0.4669551700169629,0.1792486091149757,0.0585843112612397,0.17630696406705904,0.14989140044154153,0.07704154243728571,0.040148927848224575,0.10795179501315412,0.15911767050700615
pH,0.42949867925864066,0.5530139127453482,0.762160507281983,0.45473097950311303,0.5466712991591588,4.086967639813112e-15,0.7150670059119029,0.5774097158439231,0.6506796985099459,0.6954664787954954,0.7702560875104898,0.6623509288265114,0.5497148954990261,0.7230441813361347,0.4171146009187692,0.46227609745875164,0.4587059569910661,0.5922109892680196,0.6228448833619807
DO,0.6903838698078271,0.7273153544344269,0.6122250949787608,0.3148974680674771,0.8595484620582887,0.7150233294701992,0.6482075470207611,0.8572014700283693,0.8449497350774974,0.5077693557689654,0.9759673178338963,0.9570485148906425,0.9640438205154743,0.848168423076498,0.9982221588393699,0.7395728467382655,0.8015653866959875,0.7008334940243741,0.9076096370599184
TLI,0.6820217650351079,0.0037821005471453412,0.5624069564482226,0.8689609900646631,0.06465007061107111,0.35383896038849927,0.5945917591488934,0.0025975011714326848,0.6606920340818793,0.4097539194540154,0.2452774402619597,0.44005923509625944,0.5741543462042115,0.9344277144283655,0.7256264141011197,0.7273937716777461,0.5514904772125603,0.015724713268254694,0.610989027964144
