,Bosmicore,Bosmdeit,Pleuhamu,Alongutt,Moinmacr,Alonquad,Daphlong,Diapsars,Diapbrac,Sinodorr,Eodisine,Schmforb,Mesoleuc,Thertaih,Calalarv,Cycllarv,nauplius,Therhyal,Moinmicr
TN,-0.4216420616082813,-0.2720889776620169,0.22371874423603258,0.4255528407837387,-0.28322579059315944,0.41299545687957756,0.18730268424031893,-0.1781015631788965,-0.38105404603918513,0.3462014022827266,-0.8204253320705963,-0.05452034121964003,-0.7355729583679518,-0.5767182945573717,-0.8224319962085539,-0.7771076044123517,-0.7832477701359947,-0.16229636828454358,-0.4657063226092035
DTN,-0.5540634958075146,-0.39726754714412715,0.3887416288997803,0.11557830113106388,-0.37828631588661826,0.5885589777084294,0.008276806340513157,-0.30635716789270806,-0.4097119351288356,0.03765207568537533,-0.6233402155846823,-0.17734620994489936,-0.6490730104968753,-0.45087103117244287,-0.7161921900591595,-0.7210214709383798,-0.7270609622152218,-0.2394485514578549,-0.443572032438173
NH4-N,-0.3224586608305003,-0.2930796730319426,0.19181695594971881,0.12346645814715651,-0.36377389348313754,0.7916340285657274,-0.20083459693918865,-0.2646125030356656,-0.3759087398528806,0.23764830801590342,-0.29671830434876045,-0.2852847293315213,-0.35439446001116315,-0.27998268747089256,-0.4015649017391285,-0.4078351489473395,-0.4134418780270739,-0.2691635042482545,-0.31413098264283645
NO3-N,-0.7134077432720551,-0.765241332939526,0.24441687549781266,0.0025810073383455007,-0.5525481128136204,0.13505807017837546,0.3784746663736557,-0.6732501257862711,-0.20580713381054203,0.08167648675762533,-0.5547614916358091,0.028161395092197068,-0.8200182481030807,-0.5811139087900147,-0.6684635317823693,-0.8664184366050807,-0.8270111598057035,-0.6916974651961854,-0.14131986311075073
TP,0.153780412064074,0.4938358510063444,0.017817454390688815,-0.3010917930979648,0.5712640420556845,0.5704281305959882,-0.35962763969667066,0.5716072908547352,0.2945166874751033,-0.3769957344931137,-0.08040953067846214,0.35749254728995267,0.2978453253654729,0.02235154611808428,0.08812021638552932,0.1450276825385885,0.27558369223955526,0.4540297171737544,0.2042383014152189
DTP,-0.2555147515944482,-0.3730159735702894,-0.17468706650108448,-0.5486884845686926,-0.19004435249255572,0.7218598590289107,-0.25137255465169983,-0.3312062830709139,0.06846945078992593,-0.2453706178463681,0.11716936008083913,0.006669676468363753,-0.12356613215001185,0.013383103029095598,-0.050682417752365906,-0.11789556192733291,-0.15134441100056806,-0.3469040961235055,0.12130748745125552
PO4-P,-0.31625533238583325,-0.3909247448450222,-0.06875700540081413,-0.367201543752753,-0.268277315849956,0.7451151797133894,-0.15349358896685666,-0.3487643231525041,-0.11586268307226215,-0.16321763215605065,-0.02506824827120771,-0.13097153850319074,-0.2625213314155145,-0.014416601215603064,-0.2092867761280793,-0.21501710064503599,-0.3064333538069968,-0.28117263957225663,-0.11060730086012412
CODMn,0.260334909870046,0.8273250405446272,0.11432573235451858,-0.03423360601717512,0.622969586250909,-0.017795842972357607,-0.45082678655910513,0.8447848871357401,0.06263238562009597,-0.19616866988318338,-0.16271047499845445,0.13674979704965415,0.47153675958805724,-0.03047900740203326,0.1209563750619321,0.27625360781355796,0.47881482836709843,0.6927738637414504,0.007469891008461783
Chl_a,0.4356794322084377,0.9468063809095081,-0.014802424083815532,0.1528266666190099,0.721528490976203,-0.24404960710995635,-0.1728509693776294,0.9438676689260022,0.12521256119529361,-0.15907207827657052,-0.15845367238727961,0.1947171413239553,0.47859188162070837,0.0986124154871865,0.1278908045119545,0.37920007639246633,0.485647315161568,0.8858688660300287,-0.043887611618385315
Z,0.20638001570062572,0.6877370571891094,,0.2555771698760562,0.6102420968871195,0.20150794164734515,0.23029626671442016,0.7249248857560932,-0.23852135782710052,-0.17300851634077538,-0.40256440919092473,0.009282159070537074,0.44343457772038625,-0.21919922591962196,-0.19780830108061542,0.024319027609730252,0.37216163274114356,0.801865500555391,-0.13211241909646765
SD,-0.3521267333030976,-0.3844999782460145,0.1773951943418084,0.5329035169157417,-0.644525207309604,-0.010435011431871137,0.27952225871526726,-0.4404529429289536,-0.5311251707242906,0.5087017766718213,-0.40059675314108156,-0.49249858721328116,-0.6959791866265825,-0.10056490786501812,-0.5826151027120582,-0.41016846543156116,-0.7107783815083887,-0.2833439343386202,-0.7786421704712498
T,0.25855200449631216,0.616995992252425,0.009010307916226711,-0.4829701267484469,0.6817849773303192,-0.3626648936281227,-0.2371811599316146,0.6553492017413888,0.48848549294398363,-0.6076586760601359,0.24543703334304878,0.43673838116441094,0.5852024199252535,0.4394018667927364,0.46465057669715,0.5539415028622687,0.6240872900940573,0.5112939352479521,0.45553980298477376
pH,-0.2822264872242105,-0.21385094558909964,-0.11004977591005016,-0.26762412336315333,-0.21719513643083413,0.9998251649246189,-0.13255999079558622,-0.20112424323247338,-0.16403201317227178,-0.1420469193887987,-0.10621601100215841,-0.15825834377316184,-0.21558848425504712,-0.12871999636610765,-0.289537989197317,-0.263329349415384,-0.2653575788500116,-0.1935017903757444,-0.17794175326037995
DO,0.1445195882761353,-0.12666874312081433,0.1833044794595526,0.35447182909573705,0.06447375830275331,0.13258104800882284,0.16525926452815715,-0.06556039139887641,-0.07124058311554551,-0.23805836326967758,0.010987695432566546,0.01964254153790107,-0.016441554459150465,0.069747026407915,-0.0008127279245448062,-0.12079981522139796,-0.09147455279580446,0.13944164624259486,0.042311260586259385
TLI,0.13224585847280146,0.7644941658225025,0.18615269581036586,0.053450684604252424,0.5487619917234412,-0.29388627422787433,-0.17126043435997626,0.7830117559051727,0.14159501832795726,-0.26252127530725217,-0.3636274494599461,0.24642435777557298,0.18067886978552716,-0.026670524939431214,-0.11341420529517525,0.11265813327112915,0.1912810925198604,0.6763918991576994,-0.1637937208858673
